id,microbe_level,diet_type,tissue,nat_lab,sample_wt_g,conc_sample_ngperg,num_larvae,avg_ba_conc,high_ba_conc,low_ba_conc,avg_sa_conc,high_sa_conc,low_sa_conc,avg_iaa_conc,high_iaa_conc,low_iaa_conc
NI1,nonaxenic,indole,sal,lab,0.0676,16116.06822,20,15507.28365,15595.3646,15419.2027,175374.2966,175399.6883,175348.9049,678.8604557,776.4790442,581.2418671
NI1H,nonaxenic,indole,hem,nat,0.1027,500.7035419,20,99.98458135,157.9619155,42.00724725,-8.98877797,7.724749911,-25.70230585,7314.601466,7378.856739,7250.346192
NI1H,nonaxenic,indole,hem,lab,0.1027,8261.974013,20,7861.255053,7919.232387,7803.277719,365.8570775,382.5706054,349.1435496,47626.20195,47690.45722,47561.94667
NS2,nonaxenic,salicylic,sal,nat,0.0533,658.2626558,20,-113.8543657,-2.141941426,-225.5667899,17059.47394,17091.67806,17027.26983,45.81056864,169.6195102,-77.99837293
NS2,nonaxenic,salicylic,sal,lab,0.0533,14038.7096,20,13266.59258,13378.305,13154.88015,542.3543688,574.5584835,510.1502541,197140.4827,197264.2916,197016.6737
NS2F,nonaxenic,salicylic,fat,nat,0.0688,769.729517,20,171.5632779,258.1079322,85.01862369,13999.84572,14024.79455,13974.89689,-16.6535828,79.26235595,-112.5695215
NS2F,nonaxenic,salicylic,fat,lab,0.0688,12017.19125,20,11419.02501,11505.56966,11332.48035,1158.580235,1183.529062,1133.631408,122562.6418,122658.5577,122466.7258
NS2H,nonaxenic,salicylic,hem,nat,0.1109,454.1852314,20,83.09562599,136.7860878,29.4051642,4704.08568,4719.563401,4688.607958,-18.28367906,41.22052821,-77.78788633
NS2H,nonaxenic,salicylic,hem,lab,0.1109,3435.765064,20,3064.675458,3118.36592,3010.984996,170586.6219,170602.0996,170571.1441,213273.3783,213332.8825,213213.874
AB2,axenic,benzoic,sal,nat,0.0694,4017.565835,20,3424.571062,3510.367492,3338.774633,16.62474358,41.3578749,-8.108387737,-46.98676515,48.09992917,-142.0734595
AB2,axenic,benzoic,sal,lab,0.0694,1574.262667,20,981.2678938,1067.064323,895.4714642,50126.18586,50150.91899,50101.45272,141768.2031,141863.2897,141673.1164
AB2F,axenic,benzoic,fat,nat,0.0512,2553.961396,20,1750.175512,1866.469891,1633.881133,6.408997807,39.9339844,-27.11598878,-44.73821231,84.14883038,-173.625255
AB2F,axenic,benzoic,fat,lab,0.0512,9331.04964,20,8527.263756,8643.558135,8410.969377,284311.6637,284345.1886,284278.1387,871224.7996,871353.6866,871095.9125
AB2H,axenic,benzoic,hem,nat,0.1109,1781.759328,20,1410.669723,1464.360185,1356.979261,-2.126403382,13.35131811,-17.60412487,-45.03145991,14.47274735,-104.5356672
AB2H,axenic,benzoic,hem,lab,0.1109,6173.481495,20,5802.391889,5856.082351,5748.701427,51363.37294,51378.85066,51347.89522,318703.6105,318763.1147,318644.1063
AC2,axenic,control,sal,nat,0.0615,689.572127,20,20.4040417,117.2214761,-76.41339266,13.02119838,40.93143112,-14.88903436,-78.70065397,28.60042872,-186.0017367
AC2,axenic,control,sal,lab,0.0615,29639.23798,20,28970.06989,29066.88733,28873.25246,199922.0137,199949.924,199894.1035,77611.09791,77718.39899,77503.79682
AC2F,axenic,control,fat,nat,0.0569,945.5607028,20,222.2946703,326.9391732,117.6501675,20.81704701,50.98364303,-9.349549007,51.63329234,167.6089793,-64.34239458
AC2F,axenic,control,fat,lab,0.0569,4124.150429,20,3400.884397,3505.5289,3296.239894,88197.00243,88227.16903,88166.83584,660681.9722,660797.9479,660565.9965
AC2H,axenic,control,hem,nat,0.0962,488.3436414,20,60.54907549,122.443797,-1.34564606,-14.54494983,3.297870477,-32.38777013,-52.96919672,15.62764929,-121.5660427
AC2H,axenic,control,hem,lab,0.0962,12241.37841,20,11813.58385,11875.47857,11751.68912,35955.09087,35972.93369,35937.24805,807.8742411,876.4710871,739.2773951
AI2,axenic,indole,sal,nat,0.069,624.7327513,20,28.3003275,114.5941277,-57.99347268,174.9299928,199.8065046,150.053481,9149.183108,9244.82103,9053.545187
AI2,axenic,indole,sal,lab,0.069,17407.48806,20,16811.05564,16897.34944,16724.76184,34111.47163,34136.34814,34086.59512,780.7815483,876.4194698,685.1436267
